object,view,step,envmap,psnr,ssim,lpips
GothicBed_01,00002,12,GothicBed_01_env_0,12.91038,0.7141262888908386,0.37712258100509644
GothicBed_01,00002,13,GothicBed_01_env_2,11.579212,0.7073022723197937,0.38154837489128113
GothicBed_01,00002,14,GothicBed_01_env_1,12.039814,0.7026036977767944,0.3984759747982025
GothicBed_01,00002,15,GothicBed_01_env_0,11.726465,0.6951295733451843,0.4324038028717041
GothicBed_01,00002,16,GothicBed_01_env_1,11.624788,0.6906511783599854,0.4306690990924835
GothicBed_01,00002,17,GothicBed_01_env_1,11.311755,0.6692003011703491,0.4684530198574066
GothicBed_01,00002,18,GothicBed_01_env_1,10.442218,0.5230557322502136,0.6136974692344666
GothicBed_01,00002,19,GothicBed_01_env_1,9.671694,0.46405765414237976,0.665277898311615
GothicCabinet_01,00058,0,GothicCabinet_01_env_2,30.642143,0.9610375761985779,0.022675110027194023
GothicCabinet_01,00058,1,GothicCabinet_01_env_0,23.3997,0.9076234698295593,0.06331158429384232
GothicCabinet_01,00058,2,GothicCabinet_01_env_2,25.790127,0.9398561716079712,0.04701264947652817
GothicCabinet_01,00058,3,GothicCabinet_01_env_2,22.84428,0.9218783378601074,0.06933876127004623
GothicCabinet_01,00058,4,GothicCabinet_01_env_0,20.33716,0.8841139078140259,0.09721720963716507
GothicCabinet_01,00058,5,GothicCabinet_01_env_0,20.191906,0.880955696105957,0.10981390625238419
GothicCabinet_01,00058,6,GothicCabinet_01_env_2,20.756475,0.8989572525024414,0.12130668014287949
GothicCabinet_01,00058,7,GothicCabinet_01_env_1,18.023634,0.8504015803337097,0.14635732769966125
GothicCabinet_01,00058,8,GothicCabinet_01_env_2,18.971336,0.8668392896652222,0.1734926998615265
GothicCabinet_01,00058,9,GothicCabinet_01_env_2,17.813984,0.8304961919784546,0.25389668345451355
GothicCabinet_01,00058,10,GothicCabinet_01_env_2,16.027555,0.7839609384536743,0.36656653881073
GothicCabinet_01,00058,11,GothicCabinet_01_env_2,14.8601265,0.7508437037467957,0.41393396258354187
GothicCabinet_01,00058,12,GothicCabinet_01_env_0,14.364414,0.7291268706321716,0.4311717748641968
GothicCabinet_01,00058,13,GothicCabinet_01_env_2,13.685218,0.7185955047607422,0.4616561532020569
GothicCabinet_01,00058,14,GothicCabinet_01_env_1,12.894043,0.6911269426345825,0.4794890582561493
GothicCabinet_01,00058,15,GothicCabinet_01_env_0,12.77379,0.6881110072135925,0.49698197841644287
GothicCabinet_01,00058,16,GothicCabinet_01_env_1,12.238816,0.6726903915405273,0.5048933625221252
GothicCabinet_01,00058,17,GothicCabinet_01_env_1,11.814196,0.6600244641304016,0.5142975449562073
GothicCabinet_01,00058,18,GothicCabinet_01_env_1,11.437683,0.6507226228713989,0.523140549659729
GothicCabinet_01,00058,19,GothicCabinet_01_env_1,11.106306,0.6425417065620422,0.5311349630355835
GothicCommode_01,00036,0,GothicCommode_01_env_2,19.235184,0.7899775505065918,0.23071034252643585
GothicCommode_01,00036,1,GothicCommode_01_env_0,20.136135,0.7241601943969727,0.23199462890625
GothicCommode_01,00036,2,GothicCommode_01_env_2,19.6866,0.7420727610588074,0.2508517801761627
GothicCommode_01,00036,3,GothicCommode_01_env_2,20.298271,0.7181872725486755,0.2841717004776001
GothicCommode_01,00036,4,GothicCommode_01_env_0,15.823811,0.5566046237945557,0.36417949199676514
GothicCommode_01,00036,5,GothicCommode_01_env_0,15.6328535,0.5337490439414978,0.39848950505256653
