scene_name,step,psnr,ssim,lpips,envmap_name
wooden_spoon_env_1,1,20.703529,0.938278,0.071289,wooden_spoon_white_env_0
wooden_spoon_env_1,2,20.703529,0.938278,0.071289,wooden_spoon_white_env_0
wooden_spoon_env_1,3,20.703529,0.938278,0.071289,wooden_spoon_white_env_0
wooden_spoon_env_1,4,20.703529,0.938278,0.071289,wooden_spoon_white_env_0
wooden_spoon_env_1,5,20.703529,0.938278,0.071289,wooden_spoon_white_env_0
wooden_spoon_env_1,6,20.703529,0.938278,0.071289,wooden_spoon_white_env_0
wooden_spoon_env_1,7,20.521610,0.938461,0.072754,wooden_spoon_white_env_0
wooden_spoon_env_1,8,20.703529,0.938278,0.071289,wooden_spoon_white_env_0
wooden_spoon_env_1,9,20.703529,0.938278,0.071289,wooden_spoon_white_env_0
wooden_spoon_env_1,10,20.114321,0.940020,0.079590,wooden_spoon_white_env_0
wooden_spoon_env_1,11,20.008636,0.941250,0.082031,wooden_spoon_white_env_0
wooden_spoon_env_1,12,20.114321,0.940020,0.079590,wooden_spoon_white_env_0
wooden_spoon_env_1,13,20.114321,0.940020,0.079590,wooden_spoon_white_env_0
wooden_spoon_env_1,14,20.114321,0.940020,0.079590,wooden_spoon_white_env_0
wooden_spoon_env_1,15,20.114321,0.940020,0.079590,wooden_spoon_white_env_0
wooden_spoon_env_1,16,20.114321,0.940020,0.079590,wooden_spoon_white_env_0
wooden_spoon_env_1,17,19.904892,0.941197,0.083984,wooden_spoon_white_env_0
wooden_spoon_env_1,18,20.114321,0.940020,0.079590,wooden_spoon_white_env_0
wooden_spoon_env_1,19,19.685978,0.940404,0.091309,wooden_spoon_white_env_0
gate_latch_01_env_1,0,31.780975,0.986372,0.010620,gate_latch_01_env_0
gate_latch_01_env_1,1,31.780975,0.986372,0.010620,gate_latch_01_env_0
gate_latch_01_env_1,2,31.780975,0.986372,0.010620,gate_latch_01_env_0
gate_latch_01_env_1,3,31.780975,0.986372,0.010620,gate_latch_01_env_0
gate_latch_01_env_1,4,31.780975,0.986372,0.010620,gate_latch_01_env_0
gate_latch_01_env_1,5,31.362831,0.985960,0.010864,gate_latch_01_env_0
gate_latch_01_env_1,6,31.780975,0.986372,0.010620,gate_latch_01_env_0
gate_latch_01_env_1,7,31.780975,0.986372,0.010620,gate_latch_01_env_0
gate_latch_01_env_1,8,31.780975,0.986372,0.010620,gate_latch_01_env_0
gate_latch_01_env_1,9,31.780975,0.986372,0.010620,gate_latch_01_env_0
gate_latch_01_env_1,10,31.780975,0.986372,0.010620,gate_latch_01_env_0
gate_latch_01_env_1,11,30.994114,0.985476,0.011230,gate_latch_01_env_0
gate_latch_01_env_1,12,30.833460,0.985202,0.011414,gate_latch_01_env_0
gate_latch_01_env_1,13,30.629801,0.984884,0.011597,gate_latch_01_env_0
gate_latch_01_env_1,14,30.561649,0.984729,0.011719,gate_latch_01_env_0
gate_latch_01_env_1,15,29.321199,0.980680,0.014526,gate_latch_01_env_0
gate_latch_01_env_1,16,22.971382,0.929994,0.037598,gate_latch_01_env_0
gate_latch_01_env_1,17,18.195538,0.881705,0.078613,gate_latch_01_env_0
gate_latch_01_env_1,18,18.195538,0.881705,0.078613,gate_latch_01_env_0
gate_latch_01_env_1,19,15.885581,0.860493,0.114746,gate_latch_01_env_0
gate_latch_01_env_1,0,16.385372,0.865402,0.109375,gate_latch_01_env_2
gate_latch_01_env_1,1,16.385372,0.865402,0.109375,gate_latch_01_env_2
gate_latch_01_env_1,2,16.385372,0.865402,0.109375,gate_latch_01_env_2
gate_latch_01_env_1,3,16.385372,0.865402,0.109375,gate_latch_01_env_2
gate_latch_01_env_1,4,16.176628,0.862980,0.112305,gate_latch_01_env_2
gate_latch_01_env_1,5,16.385372,0.865402,0.109375,gate_latch_01_env_2
gate_latch_01_env_1,6,16.385372,0.865402,0.109375,gate_latch_01_env_2
gate_latch_01_env_1,7,16.031660,0.861540,0.114258,gate_latch_01_env_2
gate_latch_01_env_1,8,16.385372,0.865402,0.109375,gate_latch_01_env_2
gate_latch_01_env_1,9,16.385372,0.865402,0.109375,gate_latch_01_env_2
gate_latch_01_env_1,10,16.385372,0.865402,0.109375,gate_latch_01_env_2
gate_latch_01_env_1,11,15.849939,0.860149,0.117188,gate_latch_01_env_2
gate_latch_01_env_1,12,16.385372,0.865402,0.109375,gate_latch_01_env_2
gate_latch_01_env_1,13,15.751051,0.859393,0.118164,gate_latch_01_env_2
gate_latch_01_env_1,14,15.501929,0.855980,0.123047,gate_latch_01_env_2
gate_latch_01_env_1,15,15.376063,0.854059,0.125000,gate_latch_01_env_2
gate_latch_01_env_1,16,14.804726,0.844788,0.144531,gate_latch_01_env_2
gate_latch_01_env_1,17,14.715038,0.841924,0.158203,gate_latch_01_env_2
gate_latch_01_env_1,18,14.463379,0.831877,0.185547,gate_latch_01_env_2
gate_latch_01_env_1,19,14.464151,0.831467,0.199219,gate_latch_01_env_2
gate_latch_01_env_1,0,16.972076,0.846466,0.183594,gate_latch_01_white_env_0
gate_latch_01_env_1,1,16.972076,0.846466,0.183594,gate_latch_01_white_env_0
gate_latch_01_env_1,2,16.972076,0.846466,0.183594,gate_latch_01_white_env_0
gate_latch_01_env_1,3,16.972076,0.846466,0.183594,gate_latch_01_white_env_0
gate_latch_01_env_1,4,16.972076,0.846466,0.183594,gate_latch_01_white_env_0
gate_latch_01_env_1,5,17.108387,0.848043,0.184570,gate_latch_01_white_env_0
gate_latch_01_env_1,6,16.972076,0.846466,0.183594,gate_latch_01_white_env_0
